km_driven,owner_no,model_year,price,registration_year,mileage,engine,max_power,torque,seats,price_log,fuel_type_Diesel,fuel_type_Electric,fuel_type_Lpg,fuel_type_Petrol,body_type_Convertibles,body_type_Coupe,body_type_Hatchback,body_type_Hybrids,body_type_MUV,body_type_Minivans,body_type_Pickup Trucks,body_type_SUV,body_type_Sedan,body_type_Wagon,transmission_Manual,brand_BMW,brand_Chevrolet,brand_Citroen,brand_Datsun,brand_Fiat,brand_Ford,brand_Hindustan Motors,brand_Honda,brand_Hyundai,brand_Isuzu,brand_Jaguar,brand_Jeep,brand_Kia,brand_Land Rover,brand_Lexus,brand_MG,brand_Mahindra,brand_Mahindra Renault,brand_Mahindra Ssangyong,brand_Maruti,brand_Mercedes-Benz,brand_Mini,brand_Mitsubishi,brand_Nissan,brand_Opel,brand_Porsche,brand_Renault,brand_Skoda,brand_Tata,brand_Toyota,brand_Volkswagen,brand_Volvo,insurance_validity_2,insurance_validity_Comprehensive,insurance_validity_Not Available,insurance_validity_Third Party,insurance_validity_Third Party insurance,insurance_validity_Zero Dep,ownership_overview_First Owner,ownership_overview_Fourth Owner,ownership_overview_Second Owner,ownership_overview_Third Owner,city_Chennai,city_Delhi,city_Hyderabad,city_Jaipur,city_Kolkata
18157,1,2020,4965000,2020.0,15.56,1998.0,248.08,350.0,5.0,15.417924056871259,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
120000,3,2011,1100000,2011.0,11.5,2982.0,171.0,343.0,7.0,13.910821646859095,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
40000,2,2020,1100000,2020.0,19.87,1461.0,108.5,245.0,5.0,13.910821646859095,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
89667,1,2016,594000,2016.0,18.6,1197.0,81.83,114.7,5.0,13.29463628184505,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
120000,1,2017,710000,2017.0,22.54,1396.0,88.73,219.7,5.0,13.47302165746721,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
56997,1,2017,692000,2017.0,21.4,1197.0,83.1,115.0,5.0,13.447342679685468,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
120000,1,2013,650000,2013.0,16.3,1797.0,147.5,177.5,5.0,13.384729180332174,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
59000,1,2015,2089999,2016.0,18.53,1968.0,187.74,400.0,5.0,14.552674623940995,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
18835,1,2021,411000,2021.0,22.05,796.0,47.33,69.0,5.0,12.926350926565435,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
120000,2,2010,650000,2010.0,12.05,2179.0,120.0,290.0,7.0,13.384729180332174,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
